Customer_Id,Surname,CreditScore,Country,Gender,Age,Tenure,Balance,NumofProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Age Category
15674840,Unknown,645,France,Female,38,5,101430,2,0,1,4400,0,Adult
15597983,Brown,692,France,Male,69,10,154954,1,1,1,70849,0,Senior
15652400,Moss,667,Spain,Male,56,2,0,1,0,1,18898,0,Adult
15568238,Diaz,650,Spain,Male,20,8,0,2,1,1,113470,0,Young
15746333,Blake,562,France,Female,57,3,0,3,1,1,6555,1,Adult
15744919,Genovese,734,Spain,Female,37,0,152760,1,1,1,48991,0,Adult
15701280,Romano,576,France,Male,24,3,0,1,0,1,78498,1,Young
15769917,Onyekachi,673,Germany,Female,34,1,127123,3,0,1,76703,0,Adult
15677435,Kazantseva,647,France,Female,29,0,98263,2,1,0,164718,0,Adult
15582033,Manfrin,753,Germany,Male,44,3,138076,1,1,0,15523,1,Adult
15705403,Seleznyova,652,Spain,Female,46,3,106521,1,0,1,86587,0,Adult
15698522,Thomas,660,Germany,Male,39,9,134599,2,1,0,183096,0,Adult
15665110,Helena,515,France,Female,25,7,79544,1,0,1,38773,0,Young
15803406,Ross,748,France,Female,26,5,77780,1,0,1,183049,0,Adult
15593014,Evseyev,525,France,Male,33,1,112833,1,0,1,175179,0,Adult
15669957,Drake,655,Germany,Male,52,9,144697,1,1,1,49026,0,Adult
15567147,Ratten,802,Spain,Male,40,4,0,2,1,1,81908,0,Adult
15624437,Johnson,825,Spain,Female,32,1,0,2,1,1,42935,0,Adult
15632051,Douglas,550,Germany,Female,42,10,128707,1,1,0,63093,1,Adult
15758513,Unknown,569,France,Male,43,7,0,2,1,1,52535,0,Adult
15567442,Ibezimako,656,France,Female,75,3,0,2,1,1,1277,0,Senior
15610419,Chukwueloka,554,France,Male,33,3,117414,1,1,1,12767,0,Adult
15602280,Martin,829,Germany,Female,27,9,0,1,1,1,119708,1,Adult
15602373,White,812,France,Male,44,4,115049,2,1,0,165038,0,Adult
15677105,Rossi,706,Germany,Female,46,4,105215,1,1,0,108700,1,Adult
15584320,Brennan,686,France,Female,39,3,111696,1,0,0,136644,0,Adult
15584113,PRATT,823,Germany,Female,37,4,124955,1,0,1,131260,1,Adult
15773512,Bischof,627,Spain,Female,25,4,0,1,1,1,194314,0,Young
15720371,McLean,652,France,Female,51,3,0,1,1,0,173989,1,Adult
15610753,Cremonesi,581,France,Male,28,3,104368,1,1,1,29938,0,Adult
15674368,Riley,738,France,Female,39,1,94435,2,0,1,189431,0,Adult
15730059,Udobata,638,Spain,Male,44,9,77637,2,1,1,111346,0,Adult
15646810,Quinn,603,Germany,Male,44,6,0,2,1,1,108488,1,Adult
15602844,Niu,717,France,Male,38,7,97459,1,0,0,189176,0,Adult
15656148,Obinna,376,Germany,Female,29,5,0,4,1,0,119347,1,Adult
15697201,Yocum,640,Spain,Female,46,3,0,1,1,1,156260,0,Adult
15769125,PALERMA,727,Spain,Female,41,10,0,2,0,1,47469,0,Adult
15589544,Wallis,673,Spain,Female,57,4,0,2,1,1,49684,0,Adult
15638424,Glauert,661,Germany,Female,35,5,150726,2,0,1,113657,0,Adult
15664860,Chao,692,Spain,Female,47,3,0,2,1,0,150802,1,Adult
15775678,Uspensky,716,France,Female,44,1,0,1,1,1,152108,0,Adult
15774382,Unknown,579,Germany,Male,49,4,169377,1,1,1,123535,0,Adult
15694506,Briggs,652,France,Male,31,5,107885,2,1,1,183488,0,Adult
15578866,Hughes,676,France,Female,43,2,0,1,1,1,55120,0,Adult
15768233,Chukwuebuka,435,Germany,Male,37,8,114346,1,0,1,981,1,Adult
15580956,Unknown,683,Germany,Female,43,4,115888,1,1,1,117349,1,Adult
15763063,Price,685,Spain,Female,25,10,128510,1,1,0,121562,0,Young
15568046,Izuchukwu,809,France,Male,24,7,109558,1,1,0,183515,0,Young
15671256,Macartney,850,France,Female,35,1,211774,1,1,0,188574,1,Adult
15594084,Anderson,524,France,Male,22,9,0,2,1,0,74405,0,Young
15677906,Owens,637,Spain,Female,54,5,0,1,0,1,150837,0,Adult
15695632,Dellucci,556,France,Female,39,9,89588,1,1,1,100146,0,Adult
15806837,Nnaife,669,France,Male,37,4,0,1,1,0,132540,0,Adult
15795933,Barese,677,France,Female,49,3,0,2,1,1,100146,0,Adult
15696231,CHIWETELU,635,France,Male,29,7,105406,1,1,1,149854,0,Adult
15797381,DeRose,593,Germany,Female,48,3,133903,2,1,1,85902,1,Adult
15589320,Sagese,699,Spain,Male,34,8,0,1,1,1,76510,0,Adult
15698902,McIntyre,547,Germany,Female,42,1,0,1,1,0,86207,1,Adult
15673619,Bazhenov,530,France,Male,25,9,162560,1,1,0,64129,0,Young
15800068,COOPER,801,Spain,Female,46,6,0,2,1,1,170009,0,Adult
15574167,FOX,665,France,Male,33,2,101286,1,1,1,159841,0,Adult
15755405,Hudson,710,France,Male,43,9,128284,1,1,0,32997,1,Adult
15630704,Haworth,612,Germany,Male,32,9,106521,2,1,0,177092,0,Adult
15651140,Doherty,710,France,Female,32,3,0,1,1,0,94790,0,Adult
15579914,Garcia,652,Germany,Male,30,2,109787,2,1,1,139713,0,Adult
15609510,Gregory,669,France,Male,45,7,149365,1,0,1,173454,0,Adult
15607275,Ch'ang,850,Spain,Male,39,6,206015,2,0,1,42775,1,Adult
15631222,CATTANEO,485,France,Female,39,2,75340,1,1,1,70665,0,Adult
15725772,Ma,559,France,Male,34,4,0,2,1,1,66722,0,Adult
15772329,Ch'in,654,Spain,Female,36,2,0,2,1,1,146652,0,Adult
15799998,Maclean,704,France,Male,44,3,0,2,0,1,152885,0,Adult
15737605,Cunningham,608,France,Female,30,8,85860,1,0,0,142730,0,Adult
15656627,Kovalyova,689,Spain,Male,38,5,75075,1,1,1,8652,1,Adult
15593365,Morris,531,Spain,Female,45,1,126496,2,1,1,164742,0,Adult
15758702,Lin,602,France,Male,34,5,0,2,1,1,77414,0,Adult
15672374,Shih,762,Spain,Male,39,2,81273,1,1,1,18720,0,Adult
15714380,WATSON,705,France,Female,55,8,0,2,1,1,14393,0,Adult
15659094,Unknown,672,France,Male,52,8,170009,1,0,0,56407,1,Adult
15665766,Butcher,827,France,Male,38,5,0,2,0,0,103305,0,Adult
15792660,Ojiofor,765,Germany,Female,34,8,136730,2,0,0,47058,0,Adult
15681342,T'ang,698,Germany,Male,39,5,133191,2,0,1,53289,0,Adult
15760456,Gibbons,614,France,Male,38,2,116249,1,1,0,105141,0,Adult
15602456,Hurst,639,France,Female,35,1,103015,1,1,1,139094,0,Adult
15813974,Eberechukwu,731,France,Female,38,10,123712,2,1,0,171341,1,Adult
15628904,Afanasyev,652,Germany,Female,47,4,99219,2,1,1,122141,0,Adult
15641122,Unknown,731,Germany,Male,37,3,116881,1,0,0,172718,1,Adult
15780359,Bowen,733,France,Male,35,8,102918,1,1,1,45960,0,Adult
15634143,Wei,684,France,Male,30,2,0,2,1,0,83474,0,Adult
15749300,Storey,643,Germany,Male,25,4,115143,1,1,1,148099,0,Young
15568573,Onyemauchechi,652,Spain,Male,30,0,53292,1,0,0,196582,0,Adult
15664204,Teng,556,France,Female,47,2,139914,1,1,1,50391,0,Adult
15655774,Graham,554,Germany,Female,51,7,105702,1,0,1,179798,1,Adult
15658768,Meany,706,Spain,Male,29,2,0,2,1,1,18256,0,Adult
15697042,Pan,700,Spain,Male,54,1,79416,1,0,1,139736,0,Adult
15672912,Booth,583,France,Male,27,7,0,2,1,0,51285,0,Adult
15634772,Lucas,547,France,Male,49,2,0,1,0,0,65467,1,Adult
15756625,Genovesi,738,Spain,Male,35,8,127291,1,1,0,16082,0,Adult
15716728,LOGGIA,737,Spain,Female,39,7,130052,2,0,0,55356,1,Adult
15734461,Mario,682,Spain,Female,59,0,122661,1,1,1,84804,0,Adult
15768530,Crawford,752,France,Female,41,8,0,2,1,0,139844,1,Adult
15769191,Basedow,513,Spain,Female,42,10,0,2,0,1,73151,0,Adult
15723827,Brooks,562,Germany,Male,31,2,112708,1,0,1,186370,0,Adult
15755077,Emery,554,Spain,Female,27,4,0,2,1,1,135084,0,Adult
15704770,Lipton,509,France,Male,55,8,132388,2,1,1,170360,0,Adult
15612729,Macartney,683,France,Male,30,4,114779,1,0,0,183171,0,Adult
15664083,Norton,778,Germany,Female,37,0,105618,1,1,1,133700,1,Adult
15694143,Pan,773,France,Male,25,1,124533,2,0,1,11724,0,Young
15726234,Chidiebere,681,France,Female,63,7,0,2,1,1,55054,0,Senior
15677908,Ulyanova,666,Germany,Female,37,2,158469,1,0,1,93266,0,Adult
15684722,Unknown,686,France,Female,41,10,0,1,1,0,133086,0,Adult
15617705,Trentini,708,Spain,Female,41,5,0,1,0,1,157004,0,Adult
15588461,Gilbert,552,Spain,Male,42,4,0,2,0,0,195692,0,Adult
15685150,FRASER,490,France,Male,34,5,122953,2,0,0,154361,0,Adult
15689786,Ozioma,609,France,Female,39,8,141675,1,0,1,175664,0,Adult
15788634,Cremonesi,686,France,Male,35,4,0,1,1,1,8816,0,Adult
15714493,Evans,799,Germany,Male,28,7,167658,2,1,1,111138,0,Adult
15671351,Massie,850,Germany,Male,56,1,169744,1,0,0,155850,1,Adult
15658972,Romani,750,Spain,Female,37,2,113817,1,0,0,88334,0,Adult
15672821,Francis,465,Spain,Female,33,6,0,2,1,1,95501,0,Adult
15751549,ROMANI,624,Spain,Male,35,2,0,2,1,0,87311,0,Adult
15749472,FOSTER,699,France,Female,40,8,122038,1,1,0,102085,0,Adult
15632793,OWEN,591,France,Male,28,5,0,1,1,1,48607,0,Adult
15751531,H?,658,Germany,Male,31,2,77083,2,0,0,13482,0,Adult
15798895,Lucciano,652,France,Male,45,8,0,1,1,0,130377,0,Adult
15695129,Wilkinson,638,France,Female,29,9,103418,1,1,1,15336,0,Adult
15657529,Shaw,598,Spain,Male,41,8,0,2,1,1,161954,0,Adult
15786215,Okonkwo,525,France,Female,37,6,0,1,1,0,83343,1,Adult
15573348,Milanesi,718,France,Female,31,1,152664,1,0,1,17129,0,Adult
15660980,Chin,714,Germany,Male,53,1,99142,1,1,1,72496,1,Adult
15680436,Udinese,793,France,Male,56,8,119496,2,1,0,29881,0,Adult
15634373,Tseng,652,France,Male,45,2,0,2,1,0,99593,0,Adult
15569976,Maclean,850,France,Male,35,9,102050,1,1,1,3770,0,Adult
15797960,Cairns,597,Spain,Male,38,6,115703,2,1,1,25059,0,Adult
15804211,Hsing,496,France,Female,29,4,0,2,1,0,164807,0,Adult
15772363,Yang,764,France,Male,30,5,0,2,0,1,105156,0,Adult
15775124,Skinner,806,France,Female,59,0,135296,1,1,0,182823,0,Adult
15602312,Oluchukwu,719,France,Male,36,3,155423,1,1,1,199841,0,Adult
15672246,Hilton,772,Germany,Female,42,0,101979,1,1,0,90928,0,Adult
15715907,Rose,606,Spain,Female,25,3,147387,3,1,0,45482,1,Young
15698335,Watterston,763,Spain,Male,37,8,0,2,1,1,933,0,Adult
15658813,WALKOM,605,Spain,Male,33,5,150093,1,0,0,71863,0,Adult
15716218,Jefferies,686,Germany,Male,43,2,134896,1,1,1,97847,0,Adult
15741032,ONWUBIKO,699,France,Male,37,9,113110,1,1,0,27981,1,Adult
15603764,Bergamaschi,504,France,Female,73,8,0,1,1,1,34596,0,Senior
15576706,Siciliani,645,France,Female,55,7,0,2,1,1,18369,0,Adult
15680449,Higgins,709,France,Male,45,3,104119,1,0,1,174032,0,Adult
15730639,Unknown,733,France,Male,48,5,0,1,0,1,117831,0,Adult
15567383,Chang,560,France,Male,49,4,0,1,1,1,100075,1,Adult
15618765,Ajuluchukwu,651,Germany,Male,37,9,114454,1,0,1,175821,0,Adult
15766458,Hsing,431,Germany,Female,44,2,138844,1,1,0,37688,1,Adult
15783026,Fiorentino,715,France,Male,23,7,139225,2,1,0,65058,0,Young
15801832,SLONE,678,Germany,Female,44,2,98009,2,0,1,31385,0,Adult
15727311,Ponomaryov,530,Germany,Female,42,0,99948,1,0,1,97339,0,Adult
15757911,Tang,498,France,Male,33,1,198114,1,1,0,69664,0,Adult
15679297,H?,701,France,Female,41,2,0,1,1,0,47857,0,Adult
15674720,LOMBARDO,684,Germany,Male,42,1,117691,1,1,1,23136,1,Adult
15588928,Yen,539,France,Female,22,0,100886,1,1,1,38773,0,Young
15796993,Trevisani,643,France,Female,32,2,0,1,0,0,131302,0,Adult
15631912,Volkova,652,Spain,Male,43,3,184927,1,1,0,122938,0,Adult
15767598,Smith,691,France,Female,37,7,123068,1,1,1,98162,1,Adult
15638494,Maslow,704,France,Male,47,5,0,2,1,1,145339,0,Adult
15800845,McCollum,741,France,Male,52,1,171236,2,0,0,21834,1,Adult
15797767,T'ao,840,France,Male,30,8,136292,1,1,0,54113,0,Adult
15573086,KENT,540,Spain,Male,28,8,0,2,0,0,197588,0,Adult
15687648,Salinas,625,Germany,Female,39,10,129845,1,1,1,96445,0,Adult
15742480,Artemieva,732,Spain,Female,33,8,111380,1,1,1,45099,0,Adult
15742229,Millar,564,France,Male,42,7,99824,1,1,1,100146,0,Adult
15693637,Nicholson,691,France,Male,28,1,0,2,0,0,92865,0,Adult
15660200,Igwebuike,775,Germany,Male,36,5,109949,2,0,1,71683,0,Adult
15627360,AFAMEFULA,579,Spain,Male,22,3,118681,1,1,1,49830,0,Young
15759250,Mackay,583,France,Male,59,7,127450,1,0,1,67553,0,Adult
15659557,Mai,551,France,Male,31,1,0,1,1,1,185105,0,Adult
15789815,Fuller,652,France,Male,42,9,152603,1,1,0,110265,1,Adult
15581840,BARNETT,745,Germany,Male,51,3,99184,1,1,1,28922,0,Adult
15678779,Unknown,705,Spain,Male,36,5,111629,1,1,1,21807,0,Adult
15715512,Artamonova,811,Germany,Female,28,4,167739,2,1,1,9903,0,Adult
15566594,Fallaci,503,France,Female,28,5,0,2,1,0,125918,0,Adult
15799217,DeRose,626,France,Male,33,8,0,2,1,0,138504,0,Adult
15642530,Quezada,502,France,Male,37,7,0,2,0,1,4083,0,Adult
15773591,Hsia,850,Germany,Male,29,1,154640,1,1,1,164040,0,Adult
15717898,McKenzie,709,Spain,Male,23,10,0,2,0,0,129590,0,Young
15595937,Zetticci,652,Germany,Female,35,7,52436,1,1,0,100146,0,Adult
15680112,Coates,706,Germany,Female,47,10,144090,1,1,0,140939,1,Adult
15641733,Jobson,787,France,Male,46,7,117685,2,1,1,93360,0,Adult
15664555,Chidubem,576,France,Female,41,4,112610,1,0,0,191035,1,Adult
15682355,BRUNO,430,France,Male,36,1,138992,1,0,0,122373,0,Adult
15580203,Stewart,473,Germany,Female,35,7,131505,1,1,0,189560,0,Adult
15798341,Mishina,671,France,Male,34,5,164758,1,1,0,110749,0,Adult
15791321,Dobbs,582,Spain,Male,33,6,0,2,0,1,72971,0,Adult
15749688,Hughes,587,France,Male,40,2,0,4,0,1,106175,1,Adult
15807768,Sabbatini,772,Germany,Male,42,3,75075,2,1,0,92889,1,Adult
15774536,Kennedy,674,Spain,Male,39,6,0,1,0,0,100131,0,Adult
15702631,Unknown,652,France,Male,38,5,0,1,1,1,98209,0,Adult
