CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15674840,NULL,645,France,Female,38,5,101430.3,2,0 units,1,4400.32,0
15597983,Brown,692,France,MALE,69,₹10,154953.94,1 units,,1,70849.47,0
15652400,Moss,667,Spain,Male,56 units,2,,1,0 units,1,18897.78,0
15568238,Diaz,650,Spain,Male,20,8,0.0,2,,1,113469.65,0
15746333,Blake,562,France,Female  ,57,3,0.0,3,1,,6554.97,1
15744919,Genovese,734,Spain,Female,37,0,152760.24,1,1,1,48990.5,0
15701280,Romano  ,576 units,France,Male,24,3,0.0,1,0,1,78498.04,1
15769917,Onyekachi,673,GERMANY,Female,34,1,127122.79,3,0,₹1,76703.1,0
15677435,Kazantseva,647,France,FEMALE  ,29,0,98263.46 units,2,1,0,₹164717.95,0
₹15582033,Manfrin,753,Germany,Male,44,3,138076.47,1,1,0,15523.09,1
15705403,Seleznyova,,Spain,Female,46,3,106521.49,1,0,1,86587.37 units,₹0
15698522,Thomas,660,Germany,Male,39,9,134599.33,2,1,0,183095.87,0 units
15665110,Helena,515,France,Female,25,7,₹79543.59,1,0,1,38772.82,0
15803406,Ross,748,France,Female,26,,77780.29,1,0,₹1,183049.41,0
15593014,Evseyev,525,France,MALE  ,33,1,112833.35,1,0,1,₹175178.56,0
15669957,Drake,655,Germany,Male,52,9,144696.75,1,1,1,₹49025.79,0
15567147,Ratten,802,SPAIN,Male,40,4,0.0,2,1,1,81908.09,0
15624437,Johnson,825,Spain  ,Female,32,1,0.0,2,1,1,42935.15 units,0
15632051,Douglas,550,Germany,Female,42,10,128707.31,1,1,0,63092.65,1
15758513,NULL,569,NULL,Male,43,7,0.0,2 units,₹1 units,,52534.81,0
15567442,Ibezimako,656,France  ,Female,75,3,0.0,2,1,1,1276.87 units,0
15610419,Chukwueloka,554 units,France,Male,33,3 units,117413.95,1,1,1,12766.74,0
15602280,Martin,₹829,GERMANY,Female,27,9,,,1,1,119708.21,1 units
15602373,White,812,France,Male,44,4,115049.15,2 units,1,0,₹165038.41,0
15677105,Rossi,706,GERMANY,Female,46,4,105214.58,1,1,0 units,108699.59,1
15584320,Brennan,686,France,Female,39,3,111695.62,1,0,0,136643.84,0
15584113,PRATT,823 units,Germany,Female,,4,124954.94 units,1,0,1,131259.6,1 units
15773512,Bischof,627 units,Spain,Female,₹25,4,0.0,1,1,1,194313.93,0
15720371,McLean,652,France,Female,51,3 units,0.0,1,1,0,173989.47,1
15610753,Cremonesi,581,France,NULL,28,3,104367.5,1,1,1,29937.75,0
15674368,Riley,738,France  ,Female,39,1,94435.45,2,0,1,189430.86,0
